Code,Temperature,etat
1,9.9,Cloudy
1,9.9,Cloudy
1,9.9,Cloudy
1,9.9,Cloudy
1,9.9,Cloudy
2,9.9,Cloudy
2,9.9,Cloudy
2,9.9,Cloudy
3,9.3,Cloudy
3,9.3,Foggy
4,7.0,Foggy
5,-3.2,Rainy
5,-3.2,Rainy
5,-3.2,Rainy
5,-3.2,Foggy
5,-3.2,Rainy
6,17.8,Rainy
6,17.8,Rainy
6,17.8,Cloudy
6,17.8,Rainy
6,17.8,Rainy
7,7.0,Rainy
7,7.0,Rainy
8,11.4,Sunny
9,7.4,Rainy
9,7.4,Rainy
11,13.5,Rainy
11,13.5,Cloudy
11,13.5,Cloudy
11,13.5,Rainy
11,13.5,Sunny
12,8.9,Rainy
13,15.1,Cloudy
14,10.1,Sunny
16,12.0,Sunny
16,12.0,Cloudy
17,13.5,Cloudy
17,13.5,Foggy
17,13.5,Cloudy
17,13.5,Rainy
17,13.5,Cloudy
17,13.5,Rainy
19,10.8,Sunny
19,10.8,Cloudy
22,13.1,Cloudy
22,13.1,Rainy
22,13.1,Rainy
24,12.0,Cloudy
25,10.1,Cloudy
25,10.1,Cloudy
25,10.1,Cloudy
25,10.1,Sunny
25,10.1,Rainy
25,10.1,Rainy
25,10.1,Sunny
26,9.6,Cloudy
26,9.6,Rainy
28,7.5,Cloudy
28,7.5,Cloudy
29,11.9,Rainy
30,13.8,Cloudy
30,13.8,Rainy
30,13.8,Cloudy
30,13.8,Cloudy
31,14.4,Rainy
33,13.3,Cloudy
34,14.3,Cloudy
34,14.3,Sunny
34,14.3,Cloudy
34,14.3,Cloudy
38,10.5,Cloudy
38,10.5,Rainy
38,10.5,Cloudy
38,10.5,Foggy
38,10.5,Rainy
38,10.5,Cloudy
39,7.4,Rainy
40,13.2,Cloudy
41,11.3,Cloudy
41,11.3,Rainy
41,11.3,Cloudy
42,10.9,Rainy
42,10.9,Cloudy
42,10.9,Cloudy
42,10.9,Rainy
43,7.7,Rainy
43,7.7,Cloudy
43,7.7,Cloudy
43,7.7,Rainy
44,12.7,Cloudy
44,12.7,Rainy
45,8.7,Cloudy
46,11.3,Cloudy
47,13.1,Rainy
48,6.3,Cloudy
50,11.6,Cloudy
53,14.1,Cloudy
54,12.0,Rainy
54,12.0,Cloudy
54,12.0,Cloudy
56,13.0,Rainy
56,13.0,Cloudy
57,11.7,Cloudy
57,11.7,Cloudy
57,11.7,Cloudy
57,11.7,Rainy
59,11.9,Sunny
59,11.9,Cloudy
59,11.9,Cloudy
59,11.9,Foggy
59,11.9,Cloudy
59,11.9,Cloudy
59,11.9,Rainy
59,11.9,Cloudy
60,8.6,Sunny
60,8.6,Cloudy
61,9.8,Rainy
63,11.8,Cloudy
63,11.8,Rainy
63,11.8,Rainy
63,11.8,Rainy
63,11.8,Rainy
64,13.6,Rainy
64,13.6,Foggy
64,13.6,Sunny
64,13.6,Rainy
64,13.6,Rainy
64,13.6,Rainy
64,13.6,Cloudy
64,13.6,Foggy
64,13.6,Sunny
64,13.6,Foggy
64,13.6,Foggy
65,12.0,Cloudy
65,12.0,Cloudy
65,12.0,Rainy
66,17.5,Rainy
66,17.5,Cloudy
67,12.3,Foggy
67,12.3,Cloudy
68,13.1,Rainy
68,13.1,Rainy
68,13.1,Cloudy
68,13.1,Rainy
68,13.1,Rainy
68,13.1,Rainy
69,8.6,Rainy
69,8.6,Rainy
69,8.6,Sunny
69,8.6,Rainy
69,8.6,Cloudy
69,8.6,Rainy
69,8.6,Rainy
69,8.6,Cloudy
71,7.6,Cloudy
72,12.5,Sunny
73,-2.3,Cloudy
73,-2.3,Rainy
73,-2.3,Cloudy
73,-2.3,Cloudy
73,-2.3,Cloudy
73,-2.3,Foggy
73,-2.3,Cloudy
74,8.4,Cloudy
74,8.4,Cloudy
74,8.4,Rainy
74,8.4,Rainy
74,8.4,Cloudy
75,8.3,Cloudy
75,8.3,Cloudy
76,8.2,Sunny
76,8.2,Cloudy
77,8.1,Cloudy
78,7.2,Cloudy
79,11.7,Foggy
80,9.3,Cloudy
81,13.6,Rainy
81,13.6,Rainy
82,14.2,Rainy
83,16.4,Cloudy
83,16.4,Cloudy
84,13.3,Foggy
84,13.3,Rainy
85,12.6,Cloudy
85,12.6,Cloudy
85,12.6,Rainy
85,12.6,Rainy
86,11.7,Cloudy
87,11.2,Cloudy
88,11.8,Cloudy
88,11.8,Rainy
90,13.7,Foggy
91,8.0,Cloudy
91,8.0,Cloudy
91,8.0,Sunny
