code,Date,Temperature (°C),Humidite_relative (%),Temperature_ressentie (°C),Probabilite_pluie (%),Precipitation (mm),Pression (0m)(hPa),Couverture_nuageuse (%),Visibility (m),Vitesse_vent (km/h),Index_UV,Air_quality (pm2.5),River_discharge (m3/s),Probabilité sècheresse,Probabilité canicule (%),Probabilité innondation,Indice,Etat_meteo
34,2023-04-27,23.1,47,21.9,3,0.0,1016.1,100,24140.0,13.8,3.45,3.6,1.53,0.0,False,0.260352141115385,28.64129832111187,
35,2023-04-27,14.4,94,13.1,79,0.6,1013.3,100,280.0,16.2,1.05,5.4,1.78,68.9655172413793,False,0.25647197861868865,NULL,
36,2023-04-27,15.7,80,15.7,58,0.3,1016.3,100,18220.0,4.7,0.6,3.2,7.71,49.18032786885246,False,0.2302708507062953,NULL,
37,2023-04-27,14.7,84,14.0,75,0.2,1016.1,99,19280.0,9.5,0.9,3.8,14.45,51.28205128205129,False,0.2012216448831718,NULL,
38,2023-04-27,21.9,41,20.3,0,0.0,1016.0,100,24140.0,7.9,3.65,6.2,2.7800000000000002,0.0,False,0.2561383530037865,31.202892195109527,
39,2023-04-27,18.2,45,15.8,9,0.0,1016.2,97,24140.0,12.6,5.0,5.0,6.53,0.0,False,0.23900158784459194,28.502945188221762,
40,2023-04-27,24.4,61,25.8,12,0.0,1014.2,100,24140.0,6.1,4.9,2.7,1.62,0.0,False,0.25794691591396723,16.891450057254886,
41,2023-04-27,16.0,75,14.9,65,0.3,1015.8,100,24140.0,10.3,2.8,3.2,0.63,93.75,False,0.2610216214695641,29.562342801703007,
42,2023-04-27,20.6,50,20.3,54,0.0,1015.4,100,23820.0,1.9,4.55,4.4,0.9400000000000001,0.0,False,0.26230931231728066,23.35275918658083,
43,2023-04-27,17.3,60,16.3,61,0.1,1016.1,100,22480.0,6.2,0.9500000000000001,1.9,0.06,4.25531914893617,False,0.26462908775096344,11.839585824234582,
44,2023-04-27,13.2,100,11.9,58,0.2,1014.2,100,22620.0,15.9,2.6,3.6,0.78,22.98850574712644,False,0.2616955600724955,32.81005986995336,
45,2023-04-27,17.9,58,16.3,45,0.0,1015.5,100,24140.0,9.9,2.5,3.9,0.16,0.0,False,0.2644893959567506,28.90332456742466,
46,2023-04-27,20.0,68,21.0,8,0.0,1016.0,100,24140.0,1.6,4.95,2.0,3.25,0.0,False,0.25015686926223063,48.62017423770939,
47,2023-04-27,23.2,63,25.1,21,0.0,1015.2,100,24140.0,1.0,5.25,3.6,2.47,0.0,False,0.25401622659808665,22.222236951210892,
48,2023-04-27,16.5,68,15.4,53,0.0,1016.7,100,11060.0,8.7,3.95,1.0,0.75,0.0,False,0.2609874415624693,22.768301763138197,
49,2023-04-27,15.3,87,14.2,89,0.3,1015.6,100,24140.0,14.1,0.4,4.2,590.56,44.11764705882352,False,1.8303599577988527,NULL,
50,2023-04-27,14.0,84,11.6,90,0.0,1013.1,99,18980.0,19.5,0.6,3.1,23.89,0.0,False,0.160543840233296,35.96684954915999,
51,2023-04-27,17.4,55,16.5,0,0.0,1016.6,100,24140.0,3.3,5.3,7.2,7.28,0.0,False,0.23402915440378572,NULL,
52,2023-04-27,18.5,44,16.7,43,0.0,1015.9,100,24140.0,9.2,3.55,4.6,4.22,0.0,False,0.24920651923670847,NULL,
53,2023-04-27,13.4,91,11.7,92,0.1,1014.8,100,380.0,15.9,0.4,5.1,2.22,15.384615384615385,False,0.2546440966305863,28.17458332155211,
54,2023-04-27,15.6,55,13.9,34,0.0,1016.6,100,24140.0,5.8,4.4,11.2,103.71,0.0,False,0.17821544810574189,29.341303091205766,
55,2023-04-27,17.6,49,15.2,28,0.0,1016.4,100,24140.0,10.3,4.4,12.8,51.72,0.0,False,0.04356087907762389,NULL,
56,2023-04-27,13.6,99,13.1,68,0.0,1013.3,100,560.0,10.6,0.5,3.7,1.81,0.0,False,0.257217992243102,53.02508207444203,
57,2023-04-27,17.0,52,15.3,13,0.0,1016.7,100,24140.0,6.3,4.65,10.9,4.0,0.0,False,0.2486930775888316,26.29854141130286,
58,2023-04-27,19.4,55,18.1,32,0.0,1015.6,99,24140.0,10.8,2.95,4.1,0.53,0.0,False,0.2632908700840627,NULL,
59,2023-04-27,14.7,46,12.1,0,0.0,1017.3,66,24140.0,12.6,5.0,14.4,3.94,0.0,False,0.2500402117532344,28.772170883485888,
60,2023-04-27,17.3,56,15.6,9,0.0,1015.5,100,24140.0,8.6,4.2,7.6,1.56,0.0,False,0.25867732566775,NULL,
61,2023-04-27,13.7,82,11.6,85,0.2,1014.7,96,2060.0,15.2,0.4,4.7,5.5600000000000005,39.21568627450981,False,0.23970599114732455,13.42763733807856,
62,2023-04-27,14.5,52,11.8,0,0.0,1016.4,82,24140.0,15.0,4.85,14.0,1.9,0.0,False,0.2578205988660089,NULL,
63,2023-04-27,19.5,55,18.1,38,0.1,1015.7,100,24140.0,10.0,1.2,2.1,2.85,4.366812227074236,False,0.25317510366697615,24.620338183735893,
64,2023-04-27,25.0,58,26.2,7,0.0,1014.0,100,24140.0,6.3,5.95,4.0,59.26,0.0,False,0.009968717776750765,31.56152698944879,
65,2023-04-27,24.5,53,24.8,60,0.0,1014.1,100,24140.0,7.5,5.7,3.9,2.5300000000000002,0.0,False,0.25504533901821796,40.468524300435064,
66,2023-04-27,23.2,56,21.6,2,0.0,1014.8,100,24140.0,19.7,5.65,4.3,14.92,0.0,False,0.2009184839680722,28.714496508903874,
67,2023-04-27,17.7,46,16.1,0,0.0,1017.0,100,24140.0,4.2,2.45,16.9,1.31,0.0,False,0.2614080030280252,30.900844724624616,
68,2023-04-27,17.8,53,16.7,0,0.0,1016.6,100,24140.0,3.6,4.0,11.1,2.85,0.0,False,0.2535191318622978,51.19699897425383,
69,2023-04-27,21.5,45,20.5,4,0.0,1015.2,100,24140.0,5.2,4.45,5.2,1.5899999999999999,0.0,False,0.2604361048002053,17.73108140453382,
70,2023-04-27,18.8,44,16.2,1,0.0,1016.4,54,24140.0,11.5,4.8,3.6,4.19,0.0,False,0.24933803757487663,NULL,
71,2023-04-27,20.1,51,17.9,18,0.0,1015.8,49,24140.0,14.4,3.7,3.6,1.72,0.0,False,0.2587531158965242,22.046790679072945,
72,2023-04-27,14.9,84,13.8,86,0.3,1015.3,100,5820.0,12.6,0.5,4.5,7.18,81.08108108108108,False,0.23264635424937066,20.471900586383025,
73,2023-04-27,4.7,72,0.2,0,0.0,1018.1,98,24140.0,20.5,5.1,4.5,39.46,0.0,False,0.09398367245675573,24.885536479054693,
74,2023-04-27,19.7,47,19.1,0,0.0,1015.6,76,24140.0,7.3,3.7,5.0,4.97,0.0,False,0.2453761405177375,32.67141065785298,
75,2023-04-27,19.6,44,17.6,23,0.0,1015.0,100,24140.0,8.4,3.25,8.3,443.63,0.0,False,1.3848731665154435,18.752229685491155,
76,2023-04-27,17.7,54,15.3,36,0.0,1013.9,96,24140.0,15.1,4.0,7.5,3.81,0.0,False,0.24920800531962595,29.90095255801911,
77,2023-04-27,18.4,54,17.1,23,0.0,1015.6,100,24140.0,7.0,4.9,6.5,1.78,0.0,False,0.25800784531357096,39.44682098252705,
78,2023-04-27,18.3,52,15.6,35,0.0,1014.9,100,24140.0,15.1,2.5,7.3,2.44,0.0,False,0.25545326877897817,29.411591608313163,
79,2023-04-27,17.3,83,16.9,70,0.0,1015.7,99,24140.0,13.0,0.8,3.2,0.63,0.0,False,0.2611821184246173,25.646455157426338,
80,2023-04-27,16.3,54,14.0,4,0.0,1015.9,100,24140.0,10.7,5.05,15.3,1.9,0.0,False,0.2574906884584004,48.79236341677112,
81,2023-04-27,22.6,67,24.1,5,0.0,1015.3,83,24140.0,9.8,5.15,1.9,1.09,0.0,False,0.2596507099784874,30.72509633401424,
82,2023-04-27,21.9,69,23.2,15,0.0,1015.5,100,24140.0,9.3,4.95,2.4,2.06,0.0,False,0.255292771823925,31.86281185706763,
83,2023-04-27,21.4,41,19.4,0,0.0,1016.6,100,24140.0,9.5,3.65,4.8,6.96,0.0,False,0.23803563394844052,12.97045741496207,
84,2023-04-27,19.4,48,17.5,0,0.0,1017.0,100,24140.0,9.4,5.65,3.1,0.03,0.0,False,0.2665892311186926,31.799006865085282,
85,2023-04-27,13.7,99,13.0,41,0.0,1014.9,100,11740.0,12.3,1.05,3.2,0.81,0.0,False,0.2615514100295303,33.82252590249325,
86,2023-04-27,16.6,85,17.6,72,0.1,1015.8,100,24140.0,2.2,0.4,2.6,76.45,11.49425287356322,False,0.06496255507213389,26.602375375638204,
87,2023-04-27,17.8,74,17.1,42,0.0,1016.0,98,24140.0,11.4,5.25,2.8,1.22,0.0,False,0.25865800658982707,19.210279294294676,
88,2023-04-27,16.9,49,14.6,59,0.0,1016.6,97,24140.0,9.6,4.0,4.5,34.73,0.0,False,0.11650525906626914,54.61768856801397,
89,2023-04-27,18.5,53,16.7,12,0.0,1015.9,100,24140.0,10.2,3.1,4.1,44.08,0.0,False,0.07560528502027637,NULL,
