code,Date,Temperature (°C),Humidite_relative (%),Temperature_ressentie (°C),Probabilite_pluie (%),Precipitation (mm),Pression (0m)(hPa),Couverture_nuageuse (%),Visibility (m),Vitesse_vent (km/h),Index_UV,Air_quality (pm2.5),River_discharge (m3/s),Probabilité sècheresse,Probabilité canicule (%),Probabilité innondation,Indice,Etat_meteo
38,2023-06-02,19.5,83,21.3,52,0.0,1016.4,100,18420.0,3.1,0.65,,2.79,0.0,0,0.21968544950755242,,
39,2023-06-02,18.9,85,20.5,28,0.0,1015.4,97,24140.0,3.6,0.65,,1.15,0.0,0,0.22697890984935323,,
40,2023-06-02,22.1,66,23.7,40,0.0,1013.1,8,24140.0,1.5,0.7000000000000001,,1.54,0.0,0,0.22572866719198534,,
41,2023-06-02,19.7,52,17.5,13,0.0,1016.7,0,24140.0,14.2,0.9,,0.5,0.0,0,0.23195340831124464,,
42,2023-06-02,17.9,88,19.8,27,0.0,1016.4,100,17380.0,0.8,0.8,,0.64,0.0,0,0.22935762319322617,,
43,2023-06-02,15.1,90,15.7,36,0.3,1017.0,100,24140.0,4.1,0.8,,0.09,6.756756756756756,0,0.2317431436659037,,
44,2023-06-02,22.1,47,19.9,20,0.0,1016.3,10,24140.0,15.8,1.05,,0.56,0.0,0,0.23261748154365214,,
45,2023-06-02,19.5,57,17.8,8,0.0,1016.8,0,24140.0,13.5,0.85,,0.16,0.0,0,0.23271883212809696,,
46,2023-06-02,19.3,80,20.3,19,0.0,1014.5,61,23920.0,6.5,0.8,,1.11,0.0,0,0.2270605953950253,,
47,2023-06-02,23.2,60,23.6,20,0.0,1013.4,98,24140.0,8.8,0.9,,1.31,0.0,0,0.22735557097661796,,
48,2023-06-02,14.9,90,15.3,33,0.0,1016.6,94,21840.0,4.8,0.6,,2.83,0.0,0,0.219826886517188,,
49,2023-06-02,22.2,41,19.5,9,0.0,1016.3,0,24140.0,15.3,1.0,,367.16,0.0,0,1.2031111159633023,,
50,2023-06-02,12.2,71,8.1,3,0.0,1020.8,0,24140.0,23.0,1.05,,7.79,0.0,0,0.19785347473143733,,
51,2023-06-02,20.1,58,18.5,3,0.0,1017.4,11,24140.0,14.6,0.8,,3.9699999999999998,0.0,0,0.21578269565878225,,
52,2023-06-02,19.9,55,18.9,4,0.0,1016.0,44,24140.0,8.0,0.7000000000000001,,2.13,0.0,0,0.22430446457624237,,
53,2023-06-02,19.3,61,17.3,12,0.0,1017.9,0,24140.0,16.7,1.0,,0.78,0.0,0,0.22949906020286176,,
54,2023-06-02,19.0,54,17.3,3,0.0,1017.1,0,24140.0,10.5,0.7000000000000001,,24.01,0.0,0,0.12810460759463452,,
55,2023-06-02,19.4,52,17.6,5,0.0,1017.2,0,24140.0,11.0,0.7000000000000001,,19.23,0.0,0,0.14944041831555785,,
56,2023-06-02,17.2,68,15.1,18,0.0,1018.2,0,24140.0,17.1,1.1,,0.59,0.0,0,0.2297184010199431,,
57,2023-06-02,19.1,48,17.3,5,0.0,1017.1,32,24140.0,8.9,0.65,,1.62,0.0,0,0.2276997091551432,,
58,2023-06-02,20.7,63,20.9,17,0.0,1015.5,77,24140.0,5.8,0.8,,0.25,0.0,0,0.23165540733907092,,
59,2023-06-02,14.4,73,12.2,0,0.0,1020.9,9,24140.0,14.4,0.85,,1.12,0.0,0,0.22714984441714864,,
60,2023-06-02,16.7,67,14.1,3,0.0,1019.4,0,24140.0,18.3,0.85,,1.0,0.0,0,0.2279795577838347,,
61,2023-06-02,16.5,71,14.7,12,0.0,1019.2,0,24140.0,15.0,0.9500000000000001,,2.85,0.0,0,0.21956897197020508,,
62,2023-06-02,11.1,87,8.0,3,0.0,1021.9,19,24140.0,19.5,0.9,,0.56,0.0,0,0.22978647230800314,,
63,2023-06-02,19.2,85,21.1,32,0.1,1016.1,100,18660.0,2.9,0.8,,1.81,2.2271714922048997,0,0.2240072199517139,,
64,2023-06-02,19.6,76,20.7,58,0.0,1013.9,100,24140.0,5.1,0.65,,75.12,0.0,0,0.09702605071073743,,
65,2023-06-02,18.6,79,19.4,66,0.0,1014.3,100,19740.0,6.0,0.0,,4.66,0.0,0,0.21137848332130343,,
66,2023-06-02,19.7,72,20.8,16,0.0,1014.7,9,24140.0,2.5,0.8,,30.1,0.0,0,0.09954643321055152,,
