Code,1,2,3,4,5,6,7,8,9,10,11,12
63,2.11,2.44,3.15,2.29,4.49,1.93,0.81,1.43,3.83,3.89,2.6,3.29
64,7.1,2.59,1.94,3.43,3.73,2.71,0.73,3.2,3.59,3.39,2.47,3.58
65,5.43,4.36,1.76,3.11,4.13,2.81,1.2,1.73,1.89,4.75,4.86,2.85
66,0.84,1.22,1.97,0.81,1.14,0.8,0.0,0.54,3.66,4.7,1.48,1.0
67,2.21,3.62,2.49,1.26,4.2,2.24,3.24,2.49,2.34,4.73,1.52,3.78
68,2.43,3.86,1.98,1.22,3.9,2.18,3.18,1.3,1.57,4.42,1.62,3.39
69,2.15,3.82,3.07,3.58,5.19,1.31,1.43,2.17,3.34,3.69,3.82,4.0
70,2.31,4.94,3.07,1.94,3.08,3.85,3.98,2.78,3.36,4.33,2.73,5.19
71,1.94,2.63,2.96,2.31,3.58,3.01,2.9,1.58,4.66,3.6,4.09,3.92
72,3.55,0.51,1.13,0.37,0.73,0.89,0.19,0.5,4.32,1.9,2.22,4.55
73,1.04,1.57,5.78,2.46,5.77,2.25,1.56,2.27,3.69,4.08,7.98,3.29
74,3.39,4.43,6.07,2.6,7.4,3.2,4.22,3.67,4.5,6.36,5.19,4.06
75,1.87,1.57,1.43,0.52,1.01,1.9,0.28,1.57,1.51,1.2,2.3,4.98
76,3.81,0.98,1.3,0.53,1.54,1.97,0.52,0.93,1.45,0.88,2.87,3.84
77,2.62,1.83,1.32,0.27,0.85,2.77,1.13,2.24,2.29,3.27,2.37,4.62
78,1.87,1.68,1.74,0.36,1.12,1.76,0.2,1.3,1.41,0.88,2.23,5.05
79,3.14,1.4,1.26,0.62,1.07,4.31,0.05,0.21,1.36,2.19,2.67,5.38
80,2.74,1.01,0.81,0.92,1.36,0.95,0.77,1.12,1.04,0.64,2.98,2.9
81,1.6,1.74,1.77,0.75,4.25,1.07,0.33,0.42,3.63,6.15,1.95,2.18
82,1.04,0.9,1.13,0.7,3.8,2.5,0.15,0.32,2.05,3.76,2.15,2.63
83,0.46,1.58,5.89,0.84,1.12,4.03,0.14,0.03,3.98,4.46,6.1,1.64
84,0.35,1.48,3.97,0.17,2.56,1.22,0.4,0.0,3.49,3.82,5.74,1.62
85,3.07,0.54,0.57,0.77,0.68,2.96,0.13,0.13,1.63,2.98,1.94,4.9
86,2.76,0.98,1.44,0.87,0.93,4.03,0.15,0.37,1.53,1.89,1.85,4.37
87,2.51,1.99,2.7,1.5,1.97,2.85,0.4,0.64,3.94,3.62,1.76,3.6
88,2.82,4.83,3.12,1.49,2.93,2.74,4.74,2.2,2.46,4.17,1.85,4.36
89,2.76,2.18,2.91,0.84,1.71,2.81,3.69,1.8,2.77,4.87,3.23,4.23
90,3.04,4.85,3.01,1.73,5.19,2.89,3.58,1.83,2.65,4.42,2.34,5.08
91,2.11,1.53,1.32,0.23,0.96,1.74,0.4,1.81,1.82,1.66,1.93,5.13
92,1.87,1.57,1.43,0.52,1.01,1.9,0.28,1.57,1.51,1.2,2.3,4.98
93,2.2,1.63,1.04,0.45,1.06,2.4,0.27,1.67,1.09,1.33,2.3,4.19
94,2.12,1.54,1.3,0.6,1.03,2.25,0.36,1.95,1.66,1.63,2.27,4.88
95,1.98,1.63,1.06,0.48,1.05,1.89,0.15,1.39,1.13,1.02,2.5,4.46
971,2.26,1.43,1.38,3.15,1.47,0.77,2.2,8.88,3.84,6.0,2.0,1.83
972,1.93,0.94,1.16,1.31,1.14,1.97,2.05,3.41,3.82,5.93,2.74,1.06
973,6.7,7.24,3.44,6.68,8.73,7.31,4.06,3.55,4.25,0.3,3.65,7.41
974,10.01,8.48,6.12,4.59,2.03,1.82,0.75,0.71,1.19,0.98,5.72,3.4
976,4.69,6.66,3.85,1.2,0.07,0.14,0.22,0.23,0.06,0.74,0.95,2.38
